news_site_title	search_newspaper
Idoso mata mulher e suicida-se em seguida em Samora Correia	diario_noticias
Mata mulher e barrica-se em apartamento	correio_manha
Mulher assassinada por terminar relação	correio_manha
Mulher assassinada à facada em contexto de violência doméstica	publico
Mata mulher à machadada	correio_manha
Matou-a porque estava grávida, diz mãe de mulheres assassinadas	jornal_noticias
Mata mulher e atira filhos do 18.º andar	correio_manha
Mata mulher com caçadeira e suicida-se	correio_manha
Mata três mulheres para esconder traição	correio_manha
Prima de Modric foi assassinada	diario_noticias
Homem mata mulher e suicida-se em Samora Correia	publico
Mulher grávida é esfaqueada mortalmente mas bebé sobrevive graças a operação feita pela assassina	visao
Jovem à procura de asilo na Suécia mata mulher em centro de acolhimento	publico
Marido assassina mulher a tiro em Sacavém e lança-lhe granada de seguida	publico
Mulher assassinada pelo ex-companheiro no Bombarral	sol
25 anos de prisão para homem que matou mulher e filha em Soure	sol
Mulher assassinada pelo marido em Setúbal	sol
Pai mata quatro filhos e a mulher	sol
Mulher assassina grávida e retira-lhe bebé da barriga	sol
Homem confessa o terror do momento em que matou a mulher e a filha	sol
Rússia. Pai mata os seis filhos e a mulher grávida	sol
Mulher assassinada pelo namorado	sol
Mulher assassinada pelo marido em plena via pública	sol
Mulher assassinada num prédio no centro de Guimarães	sol
Homem mata mulher e filha em Coimbra	sol
Jovem voluntária assassinada no Nepal	sol
Homem mata mulher, avisa GNR e suicida-se em seguida	diario_noticias
Mulher assassinada na estação da Amadora	sol2
Bombista suicida mata mulher e criança em igreja católica	diario_noticias
Homem mata mulher e suicida-se em Armamar	diario_noticias
Mulher assassinada pelo marido na rua	jornal_noticias
Marido assassina mulher com caçadeira em Ourém	diario_noticias
