news_site_title	search_newspaper
Homem mata ex-mulher e um militar da GNR a tiro	diario_noticias
Mata a mulher a tiro por ciúmes	diario_noticias
Loulé: Homem mata a mulher e suicida-se de seguida	sol
Homem mata mulher e suicida-se em frente ao neto de quatro anos	sol
Cinzas de corpo de emigrante assassinada divididas entre a Suíça e Portugal	sol
Homem mata a mulher e publica foto do corpo no facebook	diario_noticias
Desempregado mata mulher grávida	diario_noticias
Detido homem que matou mulher grávida	diario_noticias
Funcionária de centro de emprego assassinada por utente na Alemanha	jornal_noticias
Corpo de emigrante assassinada cremado quase dois meses depois, cinzas divididas com Portugal	publico
Três curdas assassinada com tiro na cabeça em Paris	jornal_noticias
