news_site_title	search_newspaper
Madeira. Mulher assassinada à facada por ex-companheiro	diario_noticias
Mais uma mulher assassinada depois de anos de violência doméstica em Lisboa	sol
Mãe de cinco crianças assassinadas pelo pai pede clemência	sol
Família quer ficar com filho de mulher assassinada pelo ex-amante em Amarante	correio_manha
Homem mata mulher a tiro em Ferreira do Alentejo	diario_noticias
Portuguesa assassinada nos Estados Unidos por marido que tentou suicídio	visao
Mulher assassinada em Vila Real de Santo António	expresso
No “pior país do mundo para se ser mulher” foi assassinada mais uma durante o fim de semana	expresso
Prisão preventiva para genro e filha de professora assassinada no Montijo	expresso
"Pai leva família à procura dos ""doces da Páscoa"". Mata a mulher e o filho mais velho"	diario_noticias
Homem mata mulher e filho durante caça ao ovo da Páscoa	expresso
Ex-fuzileiro mata mulher num ataque de fúria	correio_manha
Turista alemã violada e assassinada no Golfo da Tailândia	sol
Mulher assassinada pelo marido em Vieira do Minho	correio_manha
Mulher assassinada em Corroios. Ex-companheiro é o principal suspeito do crime	sol
Marido mata a mulher em Vieira do Minho e entrega-se às autoridades	sol
Judiciária sem pistas de mulher assassinada em Leça da Palmeira	correio_manha
Mulher assassinada domingo à noite numa rua da Golegã	jornal_noticias
Mulher assassinada na Golegã foi morta por ex-companheiro	jornal_noticias
Mulher assassinada a tiro num parque de estacionamento de uma discoteca na Golegâ	sol
Homem que matou a companheira diz que a julgava a fingir desmaio	correio_manha
Despertar em 60 segundos: Mulher portuguesa assassinada pelo marido em França	jornal_noticias
Mata mulher em França e conduz até Sacavém	correio_manha
