news_site_title	search_newspaper	dateyear
Marido assassina mulher com caçadeira em Ourém	diario_noticias	2016
Baleou a ex-companheira em Abril e matou a prima quando esta ligava para a polícia	publico	2015
Viúvo escreve carta emocionada aos terroristas que lhe mataram a mulher	sol2	2015
Assassinada portuguesa proprietária de hotel em Caracas	diario_noticias	2015
Homem mata mulher, amiga desta e suicida-se	publico	2015
Homem mata mulher com faca e fere outra com gravidade	publico	2015
Mulher assassinada em Setúbal	publico	2015
Milionária brasileira assassinada pelo marido no Estoril	diario_noticias	2015
Homem mata mulher de quem se estava a separar a tiro em café de Faro	publico	2015
Homem de 73 anos mata mulher doente terminal em Matosinhos	diario_noticias	2015
Homem mata mulher e suicida-se em Coimbra	publico	2015
Mulher assassinada com mais de 30 facadas resistiu até ao fim	jornal_noticias	2015
Idoso mata mulher e suicida-se em Sever do Vouga	diario_noticias	2015
Homem mata mulher durante processo de divórcio	publico	2015
Associações recordam em Lisboa e Coimbra mulheres assassinadas em Portugal	diario_noticias	2014
Português mata ex-mulher e o seu novo companheiro na Suíça	publico	2014
Órfãos de mulher assassinada na Suíça vêm para Portugal	jornal_noticias	2014
Consulado quer saber se é uma jovem brasileira a mulher assassinada em Braga	sol2	2014
Portuguesa assassinada na América	diario_noticias	2014
Mulher portuguesa assassinada no centro de Moçambique	sol2	2014
Oficial da marinha mata mulher a tiro	diario_noticias	2014
Mulher assassinada à facada na Costa da Caparica	jornal_noticias	2014
Política espanhola assassinada na rua	sol2	2014
Advogada assassinada em Estremoz	publico	2014
Homem matou advogada da ex-mulher em Estremoz	jornal_noticias	2014
Mulher assassinada à facada na Baixa da Banheira	jornal_noticias	2014
Homem mata ex-mulher e um militar da GNR a tiro	diario_noticias	2013
Mata a mulher a tiro por ciúmes	diario_noticias	2013
Loulé: Homem mata a mulher e suicida-se de seguida	sol	2013
Homem mata mulher e suicida-se em frente ao neto de quatro anos	sol	2013
Cinzas de corpo de emigrante assassinada divididas entre a Suíça e Portugal	sol	2013
Homem mata a mulher e publica foto do corpo no facebook	diario_noticias	2013
Desempregado mata mulher grávida	diario_noticias	2013
Detido homem que matou mulher grávida	diario_noticias	2013
Funcionária de centro de emprego assassinada por utente na Alemanha	jornal_noticias	2013
Corpo de emigrante assassinada cremado quase dois meses depois, cinzas divididas com Portugal	publico	2013
Três curdas assassinada com tiro na cabeça em Paris	jornal_noticias	2013
Professor mata ex-mulher com cinco tiros na rua	diario_noticias	2012
Homem que matou mulher em Boticas foi detido	publico	2012
Homem mata ex-mulher a tiro em plena rua de Lagos	publico	2012
Homem mata mulher em Boticas e foge armado	publico	2012
Homem que matou mulher detido em casa de familiares	diario_noticias	2012
Homem doente mata mulher	diario_noticias	2012
Homem mata ex-mulher grávida de sete meses	diario_noticias	2012
Beja: ex-bancário mata mulher, filha e neta dentro de casa [fotos]	sol	2012
Mulher assassinada em Sernancelhe	jornal_noticias	2012
Homem mata mulher, filha e neta em Beja	publico	2012
Sexagenário mata mulher de 35 anos após sexo	sol	2012
Mulher afegã assassinada pelo marido por ter tido mais uma filha	publico	2012
Homem mata mulher e sogra a tiro num hospital	diario_noticias	2012
Ex-emigrante mata a mulher e suicida-se a seguir	diario_noticias	2011
Morreu o bebé da mulher assassinada em igreja	jornal_noticias	2011
Homem mata mulher grávida e suicida-se em igreja a norte de Madrid	publico	2011
Homem de 80 anos mata a mulher de 75 e suicida-se com a mesma arma	publico	2011
Homem de 80 anos mata a mulher de 75 e suicida-se	diario_noticias	2011
Homem mata mulher grávida e mostra cadáver na net	sol	2011
Cidadã luso-venezuelana assassinada por raptores	publico	2011
Tribunal condena a 21 anos de prisão homem que matou a mulher à facada	publico	2011
Idoso mata a mulher e suicida-se em seguida	diario_noticias	2011
Directora de Polícia mexicana assassinada por traficantes	sol	2011
"Reportagem: homem mata mulher e suposto amante com quem costumavam andar na ""lavoura"""	publico	2010
PJ detém filho adoptivo da médica que foi assassinada em Coimbra	publico	2010
Homem mata a mulher com sete facadas e entrega-se à polícia	publico	2010
Homem mata mulher e filha à facada em Braga	publico	2010
