news_site_title	search_newspaper
Associações recordam em Lisboa e Coimbra mulheres assassinadas em Portugal	diario_noticias
Português mata ex-mulher e o seu novo companheiro na Suíça	publico
Órfãos de mulher assassinada na Suíça vêm para Portugal	jornal_noticias
Consulado quer saber se é uma jovem brasileira a mulher assassinada em Braga	sol2
Portuguesa assassinada na América	diario_noticias
Mulher portuguesa assassinada no centro de Moçambique	sol2
Oficial da marinha mata mulher a tiro	diario_noticias
Mulher assassinada à facada na Costa da Caparica	jornal_noticias
Política espanhola assassinada na rua	sol2
Advogada assassinada em Estremoz	publico
Homem matou advogada da ex-mulher em Estremoz	jornal_noticias
Mulher assassinada à facada na Baixa da Banheira	jornal_noticias
