news_site_title	search_newspaper
Baleou a ex-companheira em Abril e matou a prima quando esta ligava para a polícia	publico
Viúvo escreve carta emocionada aos terroristas que lhe mataram a mulher	sol2
Assassinada portuguesa proprietária de hotel em Caracas	diario_noticias
Homem mata mulher, amiga desta e suicida-se	publico
Homem mata mulher com faca e fere outra com gravidade	publico
Mulher assassinada em Setúbal	publico
Milionária brasileira assassinada pelo marido no Estoril	diario_noticias
Homem mata mulher de quem se estava a separar a tiro em café de Faro	publico
Homem de 73 anos mata mulher doente terminal em Matosinhos	diario_noticias
Homem mata mulher e suicida-se em Coimbra	publico
Mulher assassinada com mais de 30 facadas resistiu até ao fim	jornal_noticias
Idoso mata mulher e suicida-se em Sever do Vouga	diario_noticias
Homem mata mulher durante processo de divórcio	publico
