news_site_title	search_newspaper
Ex-emigrante mata a mulher e suicida-se a seguir	diario_noticias
Morreu o bebé da mulher assassinada em igreja	jornal_noticias
Homem mata mulher grávida e suicida-se em igreja a norte de Madrid	publico
Homem de 80 anos mata a mulher de 75 e suicida-se com a mesma arma	publico
Homem de 80 anos mata a mulher de 75 e suicida-se	diario_noticias
Homem mata mulher grávida e mostra cadáver na net	sol
Cidadã luso-venezuelana assassinada por raptores	publico
Tribunal condena a 21 anos de prisão homem que matou a mulher à facada	publico
Idoso mata a mulher e suicida-se em seguida	diario_noticias
Directora de Polícia mexicana assassinada por traficantes	sol
