news_site_title	search_newspaper
Filho de milionário mata mulher com quatro tiros	correio_manha
Homem mata mulher e suicida-se em Salvaterra de Magos	sol
Homem mata mulher a tiro no local de trabalho e a seguir suicida-se	sol
Homem mata mulher no emprego e suicida-se	correio_manha
Youtuber mata namorado em direto	correio_manha
Pai mata mulher à martelada e viola filha durante anos	correio_manha
Homem mata mulher e fica ferido com gravidade	diario_noticias
Veste-se de palhaço e mata mulher do amante	correio_manha
Duas mulheres assassinadas em Santana, na Madeira	diario_noticias
Descobre traição e mata mulher e amante nus	correio_manha
Britânico ouviu por telefone a mulher a ser assassinada	jornal_noticias
Índia: Homem mata mulher por atraso a servir o jantar	publico
Mulher assassinada pelo marido em Ponte de Lima	correio_manha
Homem mata mulher por asfixia em Santarém	publico
Homem mata mulher e suicida-se em Penafiel	correio_manha
Portuguesa assassinada em Genebra	sol
Homem mata ex-mulher num jardim em Alcáçovas, Évora	publico
Mata mulher à facada em jardim público	correio_manha
Homem mata mulher durante discussão e suicida-se em Lisboa	sol
Detido filho da mulher assassinada na Madeira	correio_manha
Homem mata mulher à facada em Esmoriz	correio_manha
Famalicão. Homem mata mulher e tenta suicidar-se	sol
Mulher assassinada com dois tiros e suspeito em fuga	jornal_noticias
Homem mata mulher e faz explodir o corpo	diario_noticias
Mata mulher e ameaça suicidar-se	diario_noticias
